title,contributor,issued,format,fulltext_url,trove_url,trove_id,fulltext_url_type
"Children under care and protection orders, Australia",Australian Institute of Health and Welfare,1991-2021,"Government publication | Periodical | Periodical/Journal, magazine, other",https://nla.gov.au/nla.obj-718663412,https://trove.nla.gov.au/work/11368222,nla.obj-718663412,edeposit
Supplementary report of the Auditor-General upon other accounts,Australia. Auditor-General's Office,1900-2021,"Government publication | Periodical | Periodical/Journal, magazine, other",https://nla.gov.au/nla.obj-1052482356,https://trove.nla.gov.au/work/11370780,nla.obj-1052482356,digitised
"Bulletin of the Orchid Society of Canberra, Inc",Orchid Society of Canberra,1984-2021,"Periodical | Periodical/Journal, magazine, other",https://nla.gov.au/nla.obj-1989985793,https://trove.nla.gov.au/work/11373049,nla.obj-1989985793,edeposit
"Homes Savings Grant Act : annual report of the Secretary, Department of Housing for the year ... ..",Australia. Department of Housing,1966-1972,"Government publication | Periodical | Periodical/Journal, magazine, other",https://nla.gov.au/nla.obj-1166288652,https://trove.nla.gov.au/work/11376537,nla.obj-1166288652,digitised
Australian fisheries,Australia. Fisheries Division,1969-1995,"Periodical | Periodical/Journal, magazine, other | Government publication",http://nla.gov.au/nla.obj-669358358,https://trove.nla.gov.au/work/11377030,nla.obj-669358358,digitised
Report of the Decimal Currency Board,Australia. Decimal Currency Board,1964-1969,"Government publication | Periodical | Periodical/Journal, magazine, other",https://nla.gov.au/nla.obj-2518402207,https://trove.nla.gov.au/work/11377674,nla.obj-2518402207,digitised
Australian transport / Department of Transport,Australia. Department of Transport,1974-1981,"Government publication | Periodical | Periodical/Journal, magazine, other",https://nla.gov.au/nla.obj-1296463969,https://trove.nla.gov.au/work/11378528,nla.obj-1296463969,digitised
Second Brigade monthly notes,Second Infantry Brigade Depot (Vic.),1917-1919,"Periodical | Periodical/Journal, magazine, other",http://nla.gov.au/nla.obj-20211747,https://trove.nla.gov.au/work/11380575,nla.obj-20211747,digitised
Report of the Director of Defence Service Homes of operations in relation to insurance,Australia. Director of Defence Service Homes,1900-2021,"Government publication | Periodical | Periodical/Journal, magazine, other",https://nla.gov.au/nla.obj-1759907094,https://trove.nla.gov.au/work/11381429,nla.obj-1759907094,digitised
Report of the Director of Defence Service Homes of operations other than insurance and financial statements,Australia. Director of Defence Service Homes,1900-1974,"Government publication | Periodical | Periodical/Journal, magazine, other",https://nla.gov.au/nla.obj-1296492163,https://trove.nla.gov.au/work/11381667,nla.obj-1296492163,digitised
Transactions and proceedings of the Fiji Society,Fiji Society,1900-2021,"Periodical | Periodical/Journal, magazine, other",http://nla.gov.au/nla.obj-182026026,https://trove.nla.gov.au/work/11381759,nla.obj-182026026,digitised
Report on special assistance for states / Grants Commission,Australia. Grants Commission,1974-2021,"Government publication | Periodical | Periodical/Journal, magazine, other",https://nla.gov.au/nla.obj-1296504458,https://trove.nla.gov.au/work/11382009,nla.obj-1296504458,digitised
Report of activities / Department of the Media,Australia. Department of the Media,1973-1974,"Government publication | Periodical | Periodical/Journal, magazine, other",https://nla.gov.au/nla.obj-838031721,https://trove.nla.gov.au/work/11385037,nla.obj-838031721,digitised
Review of activities / Department of Tourism and Recreation,Australia. Department of Tourism and Recreation,1900-2021,"Periodical | Periodical/Journal, magazine, other | Government publication",https://nla.gov.au/nla.obj-1135363315,https://trove.nla.gov.au/work/11385094,nla.obj-1135363315,digitised
The Treasurer's statement of receipts and expenditure,Australia. Treasury,1900-2021,"Government publication | Periodical | Periodical/Journal, magazine, other",https://nla.gov.au/nla.obj-2126009441,https://trove.nla.gov.au/work/11387037,nla.obj-2126009441,digitised
Report / Department of Science,Australia. Department of Science,1973-2021,"Periodical | Periodical/Journal, magazine, other | Government publication",https://nla.gov.au/nla.obj-1628687314,https://trove.nla.gov.au/work/11388431,nla.obj-1628687314,digitised
Civil works program (1983),Australia. Department of Housing and Construction,1970-1986,"Government publication | Periodical | Periodical/Journal, magazine, other",https://nla.gov.au/nla.obj-838115388,https://trove.nla.gov.au/work/11389638,nla.obj-838115388,digitised
Civil works program (1983),Australia. Department of Housing and Construction,1970-1986,"Government publication | Periodical | Periodical/Journal, magazine, other",https://nla.gov.au/nla.obj-838118791,https://trove.nla.gov.au/work/11389638,nla.obj-838118791,digitised
Civil works program (1983),Australia. Department of Housing and Construction,1970-1986,"Government publication | Periodical | Periodical/Journal, magazine, other",https://nla.gov.au/nla.obj-838116575,https://trove.nla.gov.au/work/11389638,nla.obj-838116575,digitised
"Trade in services, Australia / Department of Foreign Affairs and Trade",Australia. Department of Foreign Affairs and Trade,1900-2021,"Government publication | Periodical | Periodical/Journal, magazine, other",https://nla.gov.au/nla.obj-2635163808,https://trove.nla.gov.au/work/11389919,nla.obj-2635163808,edeposit
Tasmanian government concessions (Online),Tasmania. Department of Premier and Cabinet,2000-2021,"Government publication | Periodical | Periodical/Journal, magazine, other",https://nla.gov.au/nla.obj-1924108074,https://trove.nla.gov.au/work/11391525,nla.obj-1924108074,edeposit
Australia's overseas development assistance / Circulated by ... Minister for Foreign Affairs,Australia,1976,"Government publication | Periodical | Periodical/Journal, magazine, other",https://nla.gov.au/nla.obj-1289516007,https://trove.nla.gov.au/work/11392744,nla.obj-1289516007,digitised
The Sydney coronal / by Charles M'Donald,"M'Donald, Charles, active 1838",1835-1836,"Periodical | Periodical/Journal, magazine, other",http://nla.gov.au/nla.obj-753479079,https://trove.nla.gov.au/work/11415630,nla.obj-753479079,digitised
Economic and political overview (Online),Committee for Economic Development of Australia,1982-2021,"Periodical | Periodical/Journal, magazine, other",https://nla.gov.au/nla.obj-2920252399,https://trove.nla.gov.au/work/11420976,nla.obj-2920252399,edeposit
Economic and political overview (Online),Committee for Economic Development of Australia,1982-2021,"Periodical | Periodical/Journal, magazine, other",https://nla.gov.au/nla.obj-307111495,https://trove.nla.gov.au/work/11420976,nla.obj-307111495,edeposit
Data-Matching Program (Assistance and Tax) (Australia. Department of Social Security),Australia. Department of Social Security,1990-2021,"Periodical | Periodical/Journal, magazine, other | Government publication",https://nla.gov.au/nla.obj-1603418886,https://trove.nla.gov.au/work/11421411,nla.obj-1603418886,digitised
Report of the Van Diemen's Land Colonial Missionary and Christian Instruction Society : in connexion with the Van Diemen's Land Congregational Union,Van Diemen's Land Colonial Missionary and Christian Instruction Society,1830,"Periodical | Periodical/Journal, magazine, other",http://nla.gov.au/nla.obj-185947039,https://trove.nla.gov.au/work/11426469,nla.obj-185947039,digitised
Report for / Department of Education,Australia. Department of Education,1973-1987,"Periodical | Periodical/Journal, magazine, other | Government publication",https://nla.gov.au/nla.obj-1297946654,https://trove.nla.gov.au/work/11427313,nla.obj-1297946654,digitised
